"E","N"
"1",8.53004359772587,47.5111913883833
"2",8.54110619975973,47.508172307343
"3",8.66271930009401,47.4302495735974
"4",8.62685454377412,47.4887226797904
"5",8.56259617901061,47.4239082432209
"6",8.47291461539055,47.4386963096918
"7",8.47617352590589,47.4406100100964
"8",8.44763341303565,47.3981818268371
"9",8.45180467080785,47.405755045073
"10",8.56521581904822,47.2940007243931
"11",8.57123541456871,47.2885625108076
"12",8.71594516554486,47.3463763345602
"13",8.7127704171122,47.3492180202543
"14",8.70157894212782,47.3573019966156
"15",8.72875999761557,47.4996671742219
"16",8.72654887243763,47.4982525774309
"17",8.73108822554858,47.4987956647877
"18",8.72506356094062,47.5004998765081
"19",8.49675858216152,47.3463086204152
"20",8.50778479748223,47.3959049654213
"21",8.50663776610974,47.4226127077603
"22",8.53336727910142,47.3979501927983
"23",8.47447221712618,47.3845148666016
"24",8.49074742254965,47.3964930954292
"25",8.50320720770232,47.3623866170711
"26",8.51456052392862,47.3824484330104
"27",8.49577525178404,47.4142123096507
"28",8.54533203143824,47.3974134607235
"29",8.53040643461677,47.3775863351392
"30",8.5409969977987,47.3729342154582
"31",8.5385184061297,47.4138854876893
"32",8.54102597718818,47.4146711542734
"33",8.5386941118069,47.4146933682811
"34",8.55196762750229,47.4100237892755
"35",8.53901047068052,47.370353559437
"36",8.53397041945754,47.3796034841312
"37",8.52354411122659,47.3709496260301
"38",8.50581288600567,47.3602846948049
"39",8.50521373267311,47.37136321097
"40",8.5125361283782,47.388457983499
"41",8.50776327252761,47.4086960735888
"42",8.54652171702074,47.3660720165256
"43",8.50484482191484,47.3760890382128
"44",8.49012558308885,47.3925049714781
"45",8.48552829887535,47.400552258677
"46",8.51029533912048,47.3712172300053
"47",8.59071472166983,47.3586503008571
"48",8.55092261028583,47.3536343313499
"49",8.81347428915739,47.5033336473954
"50",8.57123541456871,47.2885625108076
"51",8.70780633520344,47.3558663972953
"52",8.71131718811553,47.3476688323265
"53",8.72384425664744,47.4989302821021
"54",8.5053093932315,47.3754820787672
"55",8.73039881210612,47.5004674543721
"56",8.47291461539055,47.4386963096918
"57",8.70157894212782,47.3573019966156
"58",8.48552829887535,47.400552258677
"59",8.4639743979136,47.4412135132935
"60",8.45660632792962,47.4309974934816
"61",8.45845570800152,47.4375834169183
"62",8.46299740015119,47.4393602388797
"63",8.46401594726458,47.4344220369558
"64",8.52607726417916,47.3951675879963
"65",8.46299740015119,47.4393602388797
"66",8.50581288600567,47.3602846948049
"67",8.73039881210612,47.5004674543721
"68",8.48934428487113,47.3999059700043
